  0.75000000E-02  0.99997687E+00  -.61684171E-02  -.61685598E-02
  0.76000000E-02  0.99997625E+00  -.62506604E-02  -.62508088E-02
  0.77000000E-02  0.99997562E+00  -.63329035E-02  -.63330579E-02
  0.78000000E-02  0.99997498E+00  -.64151466E-02  -.64153071E-02
  0.79000000E-02  0.99997434E+00  -.64973895E-02  -.64975563E-02
  0.80000000E-02  0.99997368E+00  -.65796324E-02  -.65798055E-02
  0.81000000E-02  0.99997302E+00  -.66618751E-02  -.66620549E-02
  0.82000000E-02  0.99997235E+00  -.67441178E-02  -.67443043E-02
  0.83000000E-02  0.99997167E+00  -.68263603E-02  -.68265537E-02
  0.84000000E-02  0.99997098E+00  -.69086028E-02  -.69088033E-02
  0.85000000E-02  0.99997029E+00  -.69908452E-02  -.69910529E-02
  0.86000000E-02  0.99996959E+00  -.70730874E-02  -.70733025E-02
  0.87000000E-02  0.99996887E+00  -.71553296E-02  -.71555523E-02
  0.88000000E-02  0.99996815E+00  -.72375716E-02  -.72378021E-02
  0.89000000E-02  0.99996743E+00  -.73198135E-02  -.73200520E-02
  0.90000000E-02  0.99996669E+00  -.74020554E-02  -.74023019E-02
  0.91000000E-02  0.99996595E+00  -.74842971E-02  -.74845520E-02
  0.92000000E-02  0.99996519E+00  -.75665387E-02  -.75668021E-02
  0.93000000E-02  0.99996443E+00  -.76487802E-02  -.76490522E-02
  0.94000000E-02  0.99996366E+00  -.77310216E-02  -.77313025E-02
  0.95000000E-02  0.99996289E+00  -.78132628E-02  -.78135528E-02
  0.96000000E-02  0.99996210E+00  -.78955040E-02  -.78958032E-02
  0.97000000E-02  0.99996131E+00  -.79777450E-02  -.79780537E-02
  0.98000000E-02  0.99996051E+00  -.80599859E-02  -.80603043E-02
  0.99000000E-02  0.99995970E+00  -.81422267E-02  -.81425549E-02
  0.10000000E-01  0.99995888E+00  -.82244674E-02  -.82248056E-02
  0.10100000E-01  0.99995805E+00  -.83067080E-02  -.83070564E-02
  0.10200000E-01  0.99995722E+00  -.83889484E-02  -.83893073E-02
  0.10300000E-01  0.99995637E+00  -.84711887E-02  -.84715583E-02
  0.10400000E-01  0.99995552E+00  -.85534289E-02  -.85538093E-02
  0.10500000E-01  0.99995466E+00  -.86356689E-02  -.86360605E-02
  0.10600000E-01  0.99995379E+00  -.87179089E-02  -.87183117E-02
  0.10700000E-01  0.99995292E+00  -.88001487E-02  -.88005630E-02
  0.10800000E-01  0.99995203E+00  -.88823883E-02  -.88828144E-02
  0.10900000E-01  0.99995114E+00  -.89646279E-02  -.89650659E-02
  0.11000000E-01  0.99995024E+00  -.90468673E-02  -.90473174E-02
  0.11100000E-01  0.99994933E+00  -.91291065E-02  -.91295691E-02
  0.11200000E-01  0.99994842E+00  -.92113457E-02  -.92118209E-02
  0.11300000E-01  0.99994749E+00  -.92935847E-02  -.92940727E-02
  0.11400000E-01  0.99994656E+00  -.93758235E-02  -.93763246E-02
  0.11500000E-01  0.99994562E+00  -.94580622E-02  -.94585767E-02
